theta,omega
-1.665414910247392,-0.8926424290428853
-1.665411474416108,-0.8925738334189739
-1.665408038584816,-0.8925052377952046
-1.6654046027535392,-0.8924366421716946
-1.6654011669222728,-0.8923680465484246
-1.665397731090999,-0.8922994509252967
-1.6653942952597434,-0.8922308553024478
-1.6653908594284914,-0.8921622596797995
-1.665387423597257,-0.8920936640574305
-1.6653839877660153,-0.8920250684352035
-1.6653805519347915,-0.8919564728132552
-1.6653771161035673,-0.891887877191489
-1.6653736802723613,-0.8918192815700013
-1.6653702444411445,-0.8917506859486363
-1.6653668086099418,-0.891682090327531
-1.665363372778746,-0.891613494706646
-1.6653599369475725,-0.8915448990860596
-1.6653565011163907,-0.8914763034656153
-1.6653530652852273,-0.8914077078454504
-1.6653496294540568,-0.8913391122254282
-1.665346193622904,-0.8912705166056848
-1.6653427577917537,-0.8912019209861425
-1.6653393219606039,-0.891133325366781
-1.6653358861294725,-0.8910647297476993
-1.6653324502983518,-0.8909961341288575
-1.6653290144672084,-0.8909275385100797
-1.6653255786360983,-0.8908589428916596
-1.6653221428050018,-0.8907903472734992
-1.66531870697389,-0.8907217516554418
-1.6653152711428014,-0.8906531560376837
-1.6585556279245797,-0.8244106714618646
-1.65855219210513,-0.8243420764126571
-1.6585487562857002,-0.8242734813637402
-1.6585453204662597,-0.8242048863149549
-1.6585418846468478,-0.8241362912665048
-1.6585384488274248,-0.8240676962181865
-1.6585350130080085,-0.8239991011700907
-1.6585315771886124,-0.823930506122285
-1.658528141369213,-0.8238619110746568
-1.6585247055498267,-0.8237933160272735
-1.6585212697304408,-0.8237247209800895
-1.6585178339110487,-0.8236561259330607
-1.6585143980916945,-0.8235875308864128
-1.6585109622723206,-0.8235189358398508
-1.6585075264529527,-0.8234503407935113
-1.6585040906336148,-0.823381745747508
-1.6585006548142789,-0.8233131507017045
-1.6584972189949396,-0.8232445556560779
-1.6584937831756172,-0.8231759606107195
-1.658490347356291,-0.8231073655655379
-1.6584869115369774,-0.8230387705206017
-1.6584834757176603,-0.8229701754758422
-1.6584800398983641,-0.8229015804313737
-1.6584766040790515,-0.8228329853870142
-1.6584731682597595,-0.8227643903429456
-1.6584697324404742,-0.8226957952990993
-1.6584662966211996,-0.822627200255498
-1.6584628608019314,-0.8225586052121197
-1.6584594249826798,-0.8224900101690094
-1.6584559891634165,-0.822421415126031
-1.6516963840143282,-0.7561804415234831
-1.6516929482042628,-0.7561118470584598
-1.6516895123942663,-0.7560432525937999
-1.6516860765842394,-0.755974658129248
-1.651682640774246,-0.7559060636649683
-1.6516792049642637,-0.7558374692009061
-1.651675769154279,-0.7557688747370253
-1.651672333344342,-0.7557002802734529
-1.6516688975343876,-0.7556316858100252
-1.6516654617244666,-0.7555630913468695
-1.6516620259145296,-0.7554944968838586
-1.6516585901046321,-0.7554259024211378
-1.6516551542947182,-0.755357307958562
-1.6516517184848232,-0.7552887134962213
-1.6516482826749403,-0.7552201190340984
-1.6516448468650893,-0.7551515245722479
-1.6516414110552302,-0.7550829301105598
-1.6516379752453962,-0.7550143356491257
-1.6516345394355811,-0.7549457411879277
-1.6516311036257487,-0.754877146726874
-1.6516276678159219,-0.7548085522660192
-1.6516242320061283,-0.754739957805437
-1.6516207961963312,-0.754671363345035
-1.6516173603865958,-0.7546027688849791
-1.651613924576823,-0.7545341744250127
-1.6516104887670822,-0.754465579965318
-1.65160705295734,-0.7543969855058048
-1.6516036171476012,-0.7543283910464904
-1.6516001813378958,-0.7542597965874485
-1.6515967455281875,-0.7541912021285869
-1.6448371789329155,-0.6879517517691922
-1.6448337431345221,-0.6878831578788056
-1.6448303073361559,-0.6878145639886946
-1.6448268715378,-0.6877459700988119
-1.6448234357394274,-0.6876773762090865
-1.6448199999411002,-0.6876087823196845
-1.6448165641427654,-0.6875401884304635
-1.6448131283444398,-0.6874715945414704
-1.6448096925461237,-0.6874030006527057
-1.6448062567478179,-0.6873344067641698
-1.6448028209495138,-0.6872658128758385
-1.6447993851512543,-0.6871972189878296
-1.6447959493529782,-0.6871286250999783
-1.6447925135547385,-0.6870600312124268
-1.644789077756455,-0.6869914373249609
-1.644785641958208,-0.6869228434377942
-1.6447822061599797,-0.6868542495508801
-1.6447787703617434,-0.6867856556641467
-1.644775334563544,-0.6867170617777123
-1.6447718987653277,-0.6866484678914354
-1.6447684629671293,-0.6865798740054101
-1.64476502716896,-0.686511280119661
-1.6447615913707816,-0.6864426862340922
-1.6447581555726407,-0.6863740923488231
-1.644754719774482,-0.6863054984637108
-1.6447512839763332,-0.6862369045788268
-1.644747848178193,-0.6861683106941713
-1.6447444123800823,-0.6860997168097909
-1.6447409765819352,-0.686031122925521
-1.644737540783844,-0.6859625290415973
-1.6379780119640197,-0.6197246018507259
-1.6379745761784128,-0.6196560085348325
-1.6379711403928146,-0.6195874152191684
-1.6379677046072378,-0.6195188219037634
-1.6379642688216338,-0.6194502285885006
-1.6379608330360504,-0.6193816352734963
-1.637957397250453,-0.6193130419586638
-1.637953961464852,-0.6192444486440319
-1.6379505256793314,-0.619175855329803
-1.6379470898937718,-0.619107262015688
-1.6379436541082086,-0.6190386687017738
-1.637940218322692,-0.6189700753881755
-1.637936782537206,-0.6189014820748647
-1.6379333467516943,-0.6188328887616971
-1.6379299109661793,-0.6187642954487295
-1.637926475180673,-0.6186957021359917
-1.637923039395164,-0.6186271088234545
-1.6379196036096635,-0.6185585155111464
-1.637916167824231,-0.618489922199213
-1.6379127320387488,-0.6184213288873642
-1.6379092962533341,-0.6183527355758894
-1.6379058604678691,-0.6182841422644996
-1.637902424682461,-0.6182155489534553
-1.6378989888970374,-0.6181469556425823
-1.6378955531116222,-0.6180783623319385
-1.6378921173261805,-0.6180097690214381
-1.637888681540783,-0.6179411757112533
-1.6378852457554192,-0.6178725824013559
-1.6378818099700156,-0.617803989091573
-1.637878374184645,-0.6177353957820767
-1.6311188836560864,-0.5514989880771739
-1.6311154478833496,-0.5514303953359548
-1.6311120121106057,-0.5513618025949298
-1.6311085763378688,-0.5512932098541347
-1.6311051405650923,-0.5512246171134615
-1.6311017047924046,-0.5511560243731989
-1.6310982690196443,-0.5510874316329857
-1.631094833246956,-0.5510188388931471
-1.6310913974741963,-0.550950246153358
-1.6310879617015406,-0.550881653414016
-1.631084525928846,-0.5508130606747954
-1.6310810901561426,-0.5507444679357693
-1.6310776543834795,-0.5506758751970455
-1.6310742186108087,-0.5506072824585161
-1.6310707828381612,-0.5505386897202522
-1.631067347065507,-0.5504700969821827
-1.6310639112928444,-0.550401504244307
-1.6310604755202707,-0.5503329115068425
-1.631057039747591,-0.550264318769355
-1.6310536039750183,-0.5501957260323146
-1.6310501682024037,-0.5501271332953955
-1.6310467324297984,-0.5500585405587071
-1.6310432966572002,-0.5499899478222483
-1.6310398608846266,-0.5499213550860563
-1.6310364251120777,-0.5498527623501307
-1.631032989339537,-0.5497841696144345
-1.6310295535669388,-0.549715576878825
-1.6310261177943646,-0.549646984143481
-1.6310226820218485,-0.549578391408476
-1.6310192462492907,-0.5495097986735922
-1.624259794087686,-0.48327491087618907
-1.6242563583279537,-0.48320631870981523
-1.6242529225681595,-0.48313772654353226
-1.6242494868084192,-0.4830691343775724
-1.6242460510488037,-0.483000542212073
-1.6242426152890324,-0.48293195004648026
-1.624239179529292,-0.48286335788116397
-1.6242357437696529,-0.48279476571626256
-1.6242323080099752,-0.48272617355149827
-1.6242288722502574,-0.4826575813868719
-1.6242254364906419,-0.4825889892226604
-1.6242220007310335,-0.48252039705867883
-1.6242185649713388,-0.4824518048947427
-1.624215129211699,-0.4823832127311287
-1.6242116934520672,-0.48231462056774504
-1.6242082576924195,-0.4822460284045452
-1.6242048219328251,-0.4821774362416675
-1.6242013861732167,-0.4821088440789741
-1.624197950413615,-0.48204025191651073
-1.6241945146539742,-0.481971659754185
-1.6241910788943648,-0.48190306759213564
-1.624187643134786,-0.4818344754303623
-1.6241842073752855,-0.481765883268958
-1.6241807716157222,-0.48169729110764503
-1.624177335856143,-0.481628698946516
-1.6241739000965951,-0.4815601067856633
-1.624170464337078,-0.48149151462508716
-1.6241670285775693,-0.48142292246474083
-1.624163592817973,-0.4813543303044402
-1.6241601570585262,-0.48128573814464676
-1.6174007434031517,-0.4150523706216076
-1.6173973076567727,-0.414983779030516
-1.6173938719102934,-0.41491518743947176
-1.6173904361640745,-0.4148465958490789
-1.6173870004176458,-0.4147780042585531
-1.617383564671225,-0.41470941266825584
-1.617380128924848,-0.4146408210782482
-1.6173766931785876,-0.41457222948865075
-1.6173732574322246,-0.41450363789910083
-1.61736982168587,-0.41443504630977995
-1.6173663859395955,-0.41436645472080874
-1.617362950193183,-0.4142978631318252
-1.6173595144468507,-0.41422927154319156
-1.6173560787005254,-0.4141606799547868
-1.6173526429541718,-0.41409208836655054
-1.6173492072079347,-0.41402349677872474
-1.6173457714616324,-0.41395490519100725
-1.6173423357153744,-0.4138863136035792
-1.61733889996916,-0.41381772201644057
-1.6173354642228432,-0.41374913042935
-1.617332028476571,-0.41368053884254874
-1.6173285927303787,-0.41361194725609784
-1.6173251569840115,-0.41354335566957356
-1.6173217212379083,-0.41347476408370154
-1.6173182854915549,-0.4134061724976357
-1.6173148497453562,-0.41333758091204076
-1.6173114139992388,-0.41326898932679607
-1.6173079782530193,-0.41320039774159906
-1.617304542506842,-0.4131318061566918
-1.6173011067605254,-0.41306321457177225
-1.6105417318906639,-0.34683136761326955
-1.6105382961580674,-0.3467627765978157
-1.6105348604256031,-0.3466941855827504
-1.6105314246931441,-0.34662559456791164
-1.61052798896057,-0.3465570035531377
-1.6105245532283754,-0.34648841253907603
-1.6105211174958798,-0.3464198215248363
-1.6105176817635145,-0.3463512305109852
-1.6105142460309712,-0.34628263949711807
-1.61051081029856,-0.34621404848363935
-1.6105073745661573,-0.3461454574703876
-1.6105039388339477,-0.34607686645760544
-1.6105005031013737,-0.34600827544456425
-1.6104970673691792,-0.3459396844322359
-1.6104936316366198,-0.34587109341964845
-1.6104901959042552,-0.34580250240753074
