theta1,theta2,omega1,omega2
-0.013762102937061618,-0.2626653119203771,-1.0508415555787889,-0.01947752647927184
-0.013332793615701341,-0.2586137731053365,-1.0311678215432847,0.17536651351446225
-0.013094445724291751,-0.2583246443106362,-1.0113962036288062,0.3721592295245335
-0.01304853626344361,-0.26184019672291786,-0.9915228923665328,0.5710115410139834
-0.013196581321924885,-0.2692039290683381,-0.9715439554500767,0.7720394339634681
-0.013540131865775311,-0.28046035929084834,-0.9514553251137101,0.9753637320461094
-0.014080768536890395,-0.29565471556173806,-0.93125280298471,1.1811097567314035
-0.014820097715481914,-0.31483260112792305,-0.9109320684913854,1.3894069679612195
-0.015759741049867708,-0.33803942736856923,-0.8904886856287241,1.6003883042105245
-0.01690132876706106,-0.36531984804773154,-0.8699181140040957,1.8141895414557694
-0.018246485611624102,-0.3967169003955286,-0.8492157234470878,2.0309482709997737
-0.017022128047334068,-0.32884493940701065,-0.8523000830347559,-0.0481807568538577
-0.016559664550688434,-0.32348490683960723,-0.8327629619495012,0.14375040514984933
-0.016278855928167354,-0.32165666881720706,-0.813104553968119,0.33803594501944695
-0.016180820885400893,-0.3233884049975594,-0.7933217155884014,0.5347622600139237
-0.016266620408625507,-0.3287054645416642,-0.7734112766058613,0.7340160627968267
-0.016537255850992548,-0.33762981618663906,-0.7533700468581582,0.935883584444862
-0.016993633221759567,-0.35017885234223667,-0.7331948499135782,1.1404491743800607
-0.01763655617439261,-0.36636435857983135,-0.7128825419407236,1.3477940103530326
-0.018466692197928097,-0.3861910931100335,-0.692430045088799,1.5579943298589665
-0.019484568774227287,-0.4096554909108767,-0.6718343682778762,1.771119721105661
-0.02069051611890606,-0.43674362470398,-0.6510926579923725,1.9872306399479922
-0.018399252979202654,-0.3585606101624419,-0.6562479977510233,-0.12521126432142798
-0.01788442246581516,-0.3509121448107813,-0.6368656794972428,0.06261851280316175
-0.017532462430059643,-0.34635687605471,-0.6173545543754168,0.25285388614589643
-0.017343155638523275,-0.34488043869270335,-0.5977131839845127,0.4455257565605858
-0.017316091816185656,-0.34645967099685104,-0.577940306026276,0.6406574756584554
-0.017450581630992917,-0.35106179714968483,-0.5580348274579406,0.8382636800812918
-0.017745739302206676,-0.35864188511968953,-0.537995943205247,1.0383472967331646
-0.01820034608938031,-0.3691424919938249,-0.5178230978376118,1.2408985772167629
